# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	26306
#@/user_id	629635a7-ef29-4691-9c28-b172d0142dcc
a 	啊	c=7 d=0.0414783 t=26306
bi li 	比例	c=1 d=1.35824e-14 t=26306
bi li ru 	比例如	c=1 d=7.00554e-20 t=26306
bi mian 	避免	c=7 d=0.00554077 t=26306
bi mian le 	避免了	c=1 d=4.85744e-06 t=26306
bi ming 	筆名	c=1 d=7.58514e-14 t=26306
bi na liang 	比那輛	c=1 d=4.45298e-42 t=26306
bi niu er 	鼻牛兒	c=0 d=5.28084e-49 t=26306
bi niu er wen 	鼻牛兒問	c=1 d=5.30731e-48 t=26306
bi ran 	必然	c=0 d=6.8975e-44 t=26306
bi ran xuan ze 	必然選擇	c=1 d=6.93207e-43 t=26306
bi ru 	比如	c=40 d=0.226502 t=26306
bi ru ru 	比如如	c=1 d=2.9042e-43 t=26306
bi sai 	比賽	c=3 d=5.46539e-11 t=26306
bi sheng ke 	必勝客	c=1 d=2.19427e-10 t=26306
bi shi 	筆試	c=6 d=6.27645e-05 t=26306
bi te 	比特	c=1 d=0.557106 t=26306
bi xu 	必須	c=5 d=1.62136e-09 t=26306
bi xu shi 	必須是	c=1 d=3.94193e-50 t=26306
bi xu shi bu ke bian 	必須是不可變	c=1 d=3.96169e-49 t=26306
bi yao 	必要	c=0 d=1.23234e-47 t=26306
bi ye 	畢業	c=3 d=1.56277e-13 t=26306
bi zhe 	筆者	c=1 d=1.76364e-28 t=26306
bi zhi 	壁紙	c=1 d=3.20074e-20 t=26306
bi zhi ruan jian 	壁紙軟件	c=1 d=2.96448e-20 t=26306
bi zuo tian 	比昨天	c=1 d=3.01502e-13 t=26306
bian 	便	c=4 d=1.95251e-20 t=26306
bian 	變	c=3 d=1.11393e-34 t=26306
bian 	邊	c=8 d=9.22216e-15 t=26306
bian chen gui fan 	便陳規範	c=1 d=1.9623e-19 t=26306
bian cheng 	編程	c=10 d=0.00932553 t=26306
bian cheng 	變成	c=7 d=0.932394 t=26306
bian cheng yu yan 	編程語言	c=1 d=4.16778e-28 t=26306
bian de 	變得	c=0 d=5.07377e-49 t=26306
bian de bu tong xun chang 	變得不同尋常	c=1 d=5.0992e-48 t=26306
bian hao 	編號	c=4 d=2.13357e-12 t=26306
bian hua 	變化	c=6 d=0.00017956 t=26306
bian hua le 	變化了	c=1 d=6.16641e-19 t=26306
bian hui 	便會	c=1 d=1.95584e-39 t=26306
bian hui you yi ge 	便會有一個	c=1 d=1.00167e-49 t=26306
